pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
anusay?,adj,adj,anusayati,,,latent; persistent,ncped,anusay,? adj,1,1
anusotapa?isota?,ind,ind,anusota?,,,up and down-stream,ncped,-,,1,1
anussadaka,adj,adj,ussadaka,,,not overflowing,ncped,anussadak,a adj,1,1
anuss?ha,masc,masc,uss?ha,,,want of exertion or determination,ncped,assad?t,a masc,1,1
anussa?k?,adj,adj,ussa?ki(n),,,"without apprehension, not fearful",ncped,anussa?k,? adj,1,1
anussara?aka,adj,adj,,,,who remembers,ncped,anussara?ak,a adj,1,1
anussaritabba,ptp,ptp of,anusarati,,,will remember; will recollect,ncped,anussaritabb,a ptp,1,1
anussat?nuttariya,nt,nt,anussati,,,the supremacy of recollection,ncped,anussat?nuttariy,a nt,1,1
anussati??h?na,nt,nt,anussati,,,a subject of recollection,ncped,anussati??h?n,a nt,1,1
anuss?vaka,masc,masc,,,,one who proclaims (the kammav?c?); one who presents for upasampad?,ncped,aveccapas?d,a masc,1,0
anuss?vana,nt,nt,anus?vana,,,"causing to be heard, sounding; proclamation (especially of a kammav?c?)",ncped,anuss?van,a nt,1,0
anuss?van?,fem,fem,anus?vana,,,"canvassing, speaking repeatedly (in order to win support)",ncped,anuss?van,? fem,1,0
anussavasacca,adj,adj,anussava,,,depending on tradition for one’s truths; accepting tradition as true,ncped,anussavasacc,a adj,1,1
anussavati,pr,pr,anusavati,,,flows in; flows upon,ncped,anussav,ati pr,1,1
anuss?vayati,pr,pr,"['anuss?veti', 'anus?veti']",,,causes to be heard; speaks out; proclaims (especially a kammav?c?); presents (someone) for upasampad?; speaks repeatedly (in order to win support),ncped,anuss?vay,ati pr,1,0
anuss?veti,pr,pr,"['anus?veti', 'anuss?vayati']",,,causes to be heard; speaks out; proclaims (especially a kammav?c?); presents (someone) for upasampad?; speaks repeatedly (in order to win support),ncped,anuss?v,eti pr,1,0
anuss?viyam?na,prp,prp of,"['anus?veti', 'anuss?veti']",,,being proclaimed; being announced,ncped,anuss?viya,m?na prp,1,1
anusuyyaka,adj,adj,"['usuyyaka', 'anus?yaka']",,,not envious; free from jealousy,ncped,anusuyy,aka adj,1,1
anusuyy?yam?na,adj,negative adj,anus?y?yam?na,neg,,"not envious, not discontent",ncped,anusuyy?yam?n,a adj,1,1
anut?p?,adj,adj,,,,repenting; regretting,ncped,anut?p,? adj,1,1
anutappa,ptp,ptp of,anutappati,,,to be regretted; to be sorrowed over,ncped,anutapp,a ptp,1,1
anuti??ha,pp,pp of ,anuti??hati,,,"practiced, effected, done",ncped,anuti??h,a pp,1,1
anutr?sa,adj,adj,utr?sa,,,free from fear; unafraid,ncped,anutr?s,a adj,1,1
?nutr?s?,adj,negative adj,utr?si(n),neg,,not fearful; not afraid,ncped,?nutr?s,? adj,1,2
?nutt?s?,adj,negative adj,utt?si(n),neg,,not fearful; not afraid,ncped,?nutt?s,? adj,1,2
anu??haha,masc,masc,anuj?vati,,,practice; performance (?),ncped,ayapa??,a masc,1,0
anu??h?ta,masc,masc,u??h?ta(r),,,one who does not exert himself,ncped,ayapatt,a masc,1,1
anutthavati,pr,pr,anutthun?ti,,,praises; speaks of repeatedly,ncped,anutthav,ati pr,1,2
anutthu??ti,pr,pr,anutthun?ti,,,wails; deplores; laments (for),ncped,anutthu?,?ti pr,2,0
anutthu??ti,pr,pr,anutthun?ti,,,praises; speaks of repeatedly,ncped,anutthu?,?ti pr,2,2
anutti??a,adj,negative adj,utti??a,neg,,who has not crossed over; not come out,ncped,anutti??,a adj,1,1
anutun?,adj,adj,utun?,,,not menstruating; not in the fertile period,ncped,anutun,a? adj,1,1
anuv?ceti,pr,pr,,,,recites after or again; teaches what has been taught,ncped,anuv?c,eti pr,1,1
anuv?dadhikara?a,masc,masc,anuv?da,,,"a legal question or case concerning support, or concerning a faction, or a legal question or case arising from censure or criticism",ncped,avalekhanapi?har,a masc,1,1
anuvadan?,fem,fem,,,,approval; support,ncped,g?thabhast,? fem,1,1
anuvajja,adj,adj,anudavita,,,to be censured; a fault,ncped,anuvajj,a adj,1,1
anuvasati,pr,pr,,,,inhabits; dwells; stays,ncped,anuvas,ati pr,1,1
anuvatt?pana,nt,nt,,,,making conform to,ncped,anuvatt?pan,a nt,1,1
anuvattayati,pr,"pr, caus of ","['anuvatteti', 'anuvattati']",,,"causes to go on after, keeps in motion; maintains, continues",ncped,anuvattay,ati pr,1,1
anuvattitabba,ptp,ptp,anuvattati,,,to be followed; to be conformed to,ncped,anuvattitabb,a ptp,1,1
anuvedha,masc,masc,,,,a further or second stab,ncped,avah?rak,a masc,1,1
anuvic?rayati,pr,"pr, caus of ","['anuvic?reti', 'anuvicarati']",,,"gone through, explored; scrutinized",ncped,anuvic?ray,ati pr,1,1
anuvicintayati,pr,pr,"['anuvicin?ti', 'anuvicinteti']",,,thinks or ponders over; meditates upon,ncped,anuvicintay,ati pr,1,2
anuvicinteti,pr,pr,"['anuvicin?ti', 'anuvicintayati']",,,thinks or ponders over; meditates upon,ncped,anuvicint,eti pr,1,2
anuvidh?yaka,adj,adj,,,,acting in conformity with,ncped,anuvidh?yak,a adj,1,1
anuvidhiyyati,pr,pr,anuvidh?yati,,,"acts in conformity with; follows the rules of, follows",ncped,anuvidhiyy,ati pr,1,1
anuviga?eti,pr,pr,,,,"considers, regards; takes notice of, takes account of",ncped,anuviga?,eti pr,1,1
anuvijj?,fem,fem,,,,examining,ncped,gok??,? fem,1,1
anuvijjam?na,prp,prp of,,,,"searching out, investigating; examining",ncped,anuvijja,m?na prp,1,1
anuvijjiyam?na,prp,prp of ,anuvijjati,,pass,"is searched out, investigated; is examined",ncped,anuvijjiya,m?na prp,1,1
anuvikkhitta,adj,adj,,,,"(further) dispersed, distracted",ncped,anuvikkhitt,a adj,1,0
anuvilokayati,pr,pr,anuviloketi,,,looks round at; surveys,ncped,anuvilokay,ati pr,1,1
anuvisa?a,adj,adj,,,,dispersed; spread; distracted,ncped,anuvisa?,a adj,1,1
anuviva??a,nt,nt,anuviloketi,,,a side-piece of a bhikkhu’s robe,ncped,anuviva??,a nt,1,1
anuvyañjanagg?h?,adj,adj,,,,occupying oneself with details or minor characteristics,ncped,anuvyañjanagg?h,? adj,1,1
anuvyañjana?,ind,ind,,,,letter by letter,ncped,-,,1,1
anuvyañjanaso,ind,ind,,,,as to detail; in detail,ncped,-,,2,1
anuvyañjanaso,ind,ind,,,,"as to the letter, the accurate text (?)",ncped,-,,2,0
anuy?g?,adj,adj,,,,offering after the example of another,ncped,anuy?g,? adj,1,1
anuy?yati,pr,pr,anuy?ti,,,"goes after, follows; goes along through",ncped,anuy?y,ati pr,1,1
anuyogabhaya,nt,nt,anuyoga,,,fear of interrogation,ncped,anuyogabhay,a nt,1,1
anuyogakkhama,adj,adj,anuyoga,,,which can stand scrutiny; who is fit to be questioned,ncped,anuyogakkham,a adj,1,1
anuyoga? dad?ti,idiom,idiom,anuyoga,,,"answers the question (satisfactorily), passes an examination",ncped,!,anuyoga? dad?ti,1,0
anuyogavatta,adj,adj,anuyoga,,,procedure in examination,ncped,anuyogavatt,a adj,1,1
anuyuñjiyam?na,prp,prp of,anuyuñjiyati,,pass,being questioned,ncped,anuyuñjiya,m?na prp,1,1
anuyuñjiyati,pr,pr,anuyuñjati,,,"practices, gives oneself up to",ncped,anuyuñjiy,ati pr,2,1
anuyuñjiyati,pr,pr,anuyuñjati,,,"questions, examines; calls to account",ncped,anuyuñjiy,ati pr,2,1
anv?dhika,adj,adj,,,,extra; an extra supply,ncped,anv?dhik,a adj,1,1
anvak?ri,aor,aor of ,,,,"he threw out, cast, scattered",ncped,anvak?r,i aor,1,1
anv?satta,adj,adj,,,,"ensnared, entwined (by)",ncped,anv?satt,a adj,1,0
anv?savati,pr,pr,anv?ssavati,,,"flows after, flows upon, flows continually over",ncped,anv?sav,ati pr,1,1
anv?va??a,adj,adj,anv?va??ati,,,following,ncped,anv?va??,a adj,1,1
anv?va??ati,pr,pr,,,,"moves after, follows",ncped,anv?va??,ati pr,1,1
apabb?hati,pr,pr,,,,"pushes aside, removes; (also apaby?hati, apaviy?hati, and apaby?heti)",ncped,apabb?h,ati pr,1,0
?pabhinand?,adj,adj,?pa,,,finding pleasure in (the element of) water,ncped,?pabhinand,? adj,2,0
?pabhinand?,adj,adj,?pa,,,finding pleasure in (the element of) water,ncped,?pabhinand,? adj,2,0
apaby?ma,adj,adj,apavy?ma,,,to the left; placed on the left,ncped,apaby?m,a adj,1,2
apaby?heti,pr,pr,,,,"pushes aside, removes; (also apaby?hati, apaviy?hati, and apabb?hati)",ncped,apaby?h,eti pr,1,0
apaca,adj,adj,,,,"“not cooking”, homeless",ncped,apac,a adj,1,1
apacay?r?ma,masc,masc,apacaya,,,finding delight in diminution,ncped,?cam,a masc,1,1
apac?yika,adj,adj,,,,honoring; respecting,ncped,apac?yik,a adj,1,1
apaccupekkhana,nt,nt,,,,disregarding; neglecting,ncped,apaccupekkhan,a nt,1,1
apacetabba,adj,adj,,,,to be honored; to be treated with respect,ncped,apacetabb,a adj,1,1
apaceyya,adj,adj,,,,to be honored; deserving respect,ncped,apaceyy,a adj,1,1
apacina,masc,masc,,,,not collecting; or watching over,ncped,?camanasar?vak,a masc,1,1
ap?c?na,adj,adj,,,,being below,ncped,ap?c?n,a adj,1,1
apacineyya,adj,adj,apaciniyya,,,to be respected; deserving honor,ncped,apacineyy,a adj,1,2
apaciniyya,adj,adj,apacineyya,,,to be respected; deserving honor,ncped,apaciniyy,a adj,1,2
apad?nasobhana,adj,"adj, comp",apad?na,,,made clear or manifest in actions or by its results,ncped,apad?nasobhan,a? adj,1,1
?padatth?,ind,ind,"['?padatth?ya', '?pad?']",,,(for use) in case of misfortune or accident,ncped,-,,1,0
?padatth?ya,ind,ind,"['?padatth?', '?pad?']",,,(for use) in case of misfortune or accident,ncped,-,,1,0
?p?dayati,pr,"pr, caus of ","['?padeti', '?pajjati']",,,"causes to enter upon or reach (a state); brings to; brings up, nurtures",ncped,?p?day,ati pr,1,0
?p?deta,masc,masc,,,,"(from ?p?deti) one who brings up, who nurtures",ncped,utt?r,a masc,1,0
?pad?,fem,fem,?pad?,,,misfortune; distress; calamity,ncped,?pad,? fem,1,1
?pagaharaka,adj,adj,?pa,,,who scorns or disparages (the element of) water,ncped,?pagaharak,a adj,1,0
apagatagabbha,adj,adj,apagata,,,"without a fetus, having miscarried",ncped,apagatagabbh,a adj,1,1
apagataphegguka,adj,adj,apagata,,,with the accessory wood gone,ncped,apagataphegguk,a adj,1,1
apahar?,adj,adj,,,,taking away; stealing; a thief,ncped,apahar,? adj,1,1
apahata,adj,adj,,,,destroyed,ncped,apahat,a adj,1,1
apahatta,masc,masc,,,,one who takes away or removes,ncped,?d?t,a masc,1,1
ap?hatu?,inf,inf of ,,,,to take away; to remove; to ward off; to object to,ncped,-,,1,1
?pajigucchaka,adj,adj,?pa,,,who spurns or despises (the element of) water,ncped,?pajigucchak,a adj,1,0
apakantati,pr,pr,apakaroti,,,cuts off,ncped,apakant,ati pr,1,1
apak?sati,pr,pr,apakassati,,,draws away; removes; draws back,ncped,apak?s,ati pr,2,1
apak?sati,pr,pr,apakassati,,,"draws back, secedes; alienates oneself",ncped,apak?s,ati pr,2,3
apakirit?na,ind,ind,,,,throwing away; rejecting,ncped,-,,1,1
apakka??ha,pp,pp of ,"['apakassati', 'apaka??ha']",,,"drawn away, removed (from); loose",ncped,apakka??h,a pp,1,0
apal??ana,nt,nt,,,,"enticing, luring away",ncped,apal??an,a nt,1,1
apalepa,masc,masc,,,,lack of plaster,ncped,?ta?kaphass,a masc,1,1
apalepapatita,adj,adj,apalepa,,,falling down through the loss of plaster,ncped,apalepapatit,a adj,1,1
apalokayati,pr,pr,apaloketi,,,"looks towards; looks back; looks to, considers",ncped,apalokay,ati pr,2,1
apalokayati,pr,pr,apaloketi,,,"looks to for approval, consults; asks permission; asks or takes leave",ncped,apalokay,ati pr,2,1
apam?rika,adj,adj,apam?riya,,,epileptic,ncped,apam?rik,a adj,1,2
apam?riya,adj,adj,apam?rika,,,epileptic,ncped,apam?riy,a adj,1,2
apanaddha,adj,adj,,,,tied back; (or untied),ncped,apanaddh,a adj,1,0
apanaddhakal?pa,adj,adj,,,,with quiver tied behind; (or “with the hair-knot untied),ncped,apanaddhakal?p,a adj,1,0
?p??ako?ika?,ind,ind,,,,"until the end of one’s life, all one’s life",ncped,-,,1,1
apa?ata,pp,pp of ,apanamati,,,"bent away; disinclined, averse",ncped,apa?at,a pp,1,1
apa?ga,nt,nt,"['ap??ga', 'ava?ga']",,,a mark or circle drawn on the forehead or at the outer corner of the eye,ncped,apa?g,a nt,1,2
apanidha,masc,masc,,,,concealing,ncped,?c?ragocar,a masc,1,1
apanidhita,pp,pp of ,apanidheti,,,removed hidden concealed,ncped,apanidhit,a pp,1,1
apañjasa,adj,adj,,,,going off one’s correct course,ncped,apañjas,a adj,1,1
apa??akata,adj,adj,,,,"sure, safe, certain; having a certain outcome",ncped,apa??akat,a adj,1,1
apanudita,masc,masc,,,,one who removes,ncped,???pak,a masc,1,1
apanujja,ger,ger of,,,,having driven away; having removed,ncped,-,,1,1
apar?dheti,pr,"pr, caus of ",aparajjhati,,,lets (something) go wrong or fail; neglects,ncped,apar?dh,eti pr,1,0
apar?dika,adj,adj,,,,"(one) who has offended or committed a fault, who has fallen short (of)",ncped,apar?dik,a adj,1,0
aparajjugata,adj,adj,aparajju,,,which occurred on the previous day,ncped,aparajjugat,a adj,1,1
aparantakappika,masc,masc,aparanta,,,who theorizes about the future,ncped,??isa?gh??,a masc,1,1
aparantanudi??h?,adj,adj,aparanta,,,holding (false) views concerning the future,ncped,aparantanudi??h,? adj,2,0
aparantanudi??h?,adj,adj,aparanta,,,holding (false) views concerning the future,ncped,aparantanudi??h,? adj,2,0
aparapaj?,fem,fem,apara,,,grandchildren and descendants,ncped,ca?kamanas?l,? fem,1,1
aparapara,adj,adj,apara,,,one after another; various; following,ncped,aparapar,a adj,1,1
aparapara?,ind,ind,apara,,,to and fro; again and again; more and more,ncped,-,,1,1
aparena,ind,"ind, adv, instr sg of",apara,,,"after, beyond; later on, afterwards",ncped,-,,2,1
aparena,ind,"ind, adv, instr sg of",apara,,,to the west,ncped,-,,2,1
aparigha?santa,adj,adj,,,,not rubbing or scraping,ncped,aparigha?sant,a adj,1,1
apariss?vanaka,adj,adj,,,,(one who has no water-strainer,ncped,apariss?vanak,a adj,1,0
ap?ruta,adj,adj,ap?purati,,,"open, opened",ncped,ap?rut,a adj,1,1
ap?rutaghara,adj,adj,ap?ruta,,,living with open doors,ncped,ap?rutaghar,a adj,1,1
apasabya,adj,adj,apasavya,,,"to the left, placed on the left",ncped,apasaby,a adj,1,1
apas?dayati,pr,pr,apas?deti,,,"dismisses; rebukes, reproaches; disparages",ncped,apas?day,ati pr,1,1
apas?deta,masc,masc,,,,(from apas?deti) one who rebukes; one who disparages,ncped,?t?panaparit?pan?nuyog,a masc,1,0
apas?detar,masc,masc,,,,(from apas?deti) one who rebukes; one who disparages,ncped,apas?det,ar masc,1,0
apasammajjati,pr,pr,,,,sweeps away; winnows,ncped,apasammajj,ati pr,1,1
apas?ra?a,nt,nt,,,,removing; taking (a ship) out from land (?):,ncped,apas?ra?,a nt,1,0
apasavya? karoti,idiom,idiom,"['apasavyato karoti', 'apasavya']",,,goes round (something or someone) keeping one’s left side towards it or them (a mark of disrespect),ncped,!,apasavya? karoti,1,0
apasavyato karoti,idiom,idiom,"['apasavya? karoti', 'apasavya']",,,goes round (something or someone) keeping one’s left side towards it or them (a mark of disrespect),ncped,!,apasavyato karoti,1,0
apassena,nt,nt,,,,"something to lean on or rely on; rest, s support",ncped,apassen,a nt,1,1
apassenaka,nt,nt,,,,"a rest, support",ncped,apassenak,a nt,1,1
apasseta,masc,masc,,,,one who leans against,ncped,?thabban,a masc,1,2
apassetar,masc,masc,,,,one who leans against,ncped,apasset,ar masc,1,2
?p?thakanis?d?,adj,adj,,,,"sitting within the view (of men), in public",ncped,?p?thakanis?d,? adj,2,0
?p?thakanis?d?,adj,adj,,,,"sitting within the view (of men), in public",ncped,?p?thakanis?d,? adj,2,0
apattac?varaka,adj,adj,,,,(one) who has no bowl or (bhikkhu’s) robe,ncped,apattac?varak,a adj,1,0
?pattig?m?,adj,adj,?patti,,,guilty of an offense (not yet dealt with),ncped,?pattig?m,? adj,2,0
?pattig?m?,adj,adj,?patti,,,guilty of an offense (not yet dealt with),ncped,?pattig?m,? adj,2,0
?pattikusalat?,fem,"fem, abstr",?patti,,,skill in discerning what is an offense,ncped,tiriya?tara?,? fem,1,1
?pattivu??h?na,nt,nt,?patti,,,removal of an offense; rehabilitation,ncped,?pattivu??h?n,a nt,1,1
ap?tubha,adj,adj,ap??ubha,,,unscrupulous; dishonest; uncivilized,ncped,ap?tubh,a adj,1,2
ap??ubha,adj,adj,ap?tubha,,,unscrupulous; dishonest; uncivilized,ncped,ap??ubh,a adj,1,2
apav??ati,pr,pr,,,,observes attentively; watches; watches over,ncped,apav??,ati pr,1,1
apaviy?hati,pr,pr,,,,"pushes aside, removes; (also apaby?hati, apabb?hati, and apaby?heti)",ncped,apaviy?h,ati pr,1,0
apavy?ma,adj,adj,apaby?ma,,,to the left; placed on the left,ncped,apavy?m,a adj,1,2
apavy?ma? karoti,idiom,idiom,"['apavy?mato karoti)goes round (something or someone', 'apavy?ma']",,,keeping one’s left side towards it or them (a mark of disrespect),ncped,!,apavy?ma? karoti,1,0
apavy?mato karoti,idiom,idiom,"['apavy?ma? karoti', 'apavy?ma']",,,goes round (something or someone) keeping one’s left side towards it or them (a mark of disrespect),ncped,!,apavy?mato karoti,1,0
ap?yag?man?ya,adj,adj,ap?ya,,,"leading to perdition, to an unhappy state; liable to perdition",ncped,ap?yag?man?y,a adj,1,1
ap?yakosalla,nt,nt,ap?y?,,,knowledge about loss or decline,ncped,ap?yakosall,a nt,1,1
ap?yakusala,adj,adj,ap?y?,,,knowledgeable about loss or decline,ncped,ap?yakusal,a adj,1,1
apay?na,nt,nt,,,,"going away, retreat",ncped,apay?n,a nt,1,1
apay?petabba,ptp,ptp of,,,,going away; retreating,ncped,apay?petabb,a ptp,1,1
apay?peti,pr,"pr, caus of ",,,,"makes go, makes retreat; dismisses",ncped,apay?p,eti pr,1,1
ap?yati,pr,pr,"['apeti', 'apa-iti']",,,goes away; departs,ncped,ap?y,ati pr,1,1
apayi,aor,aor of ,,,,had gone away; had retreated,ncped,apay,i aor,1,2
ap?yi,aor,aor of ,,,,had gone away; had retreated,ncped,ap?yi,i aor a?su,1,2
ap?y?,adj,adj,,,,going away,ncped,ap?y,? adj,1,1
apekh?,fem,fem,apekkh?,,,"regard, attention, longing for (locative)",ncped,candanagha?ik,? fem,1,0
apekhati,pr,pr,apekkhati,,,"looks for, longs for, pays regard to (accusative or locative); has reference to",ncped,apekh,ati pr,1,0
apekh?,adj,adj,apekkhi(n),,,regardful of; looking for,ncped,apekh,? adj,1,1
apekkhava,adj,adj,apekkh?,,,"full of longing or desire (for, locative)",ncped,apekkhav,a adj,1,0
apetalomaha?sa,adj,adj,apeta,,,with excitement gone,ncped,apetalomaha?s,a adj,1,1
apetaviññ??a,adj,adj,apeta,,,without consciousness,ncped,apetaviññ??,a adj,1,1
api hi,idiom,idiom,api,,,although,ncped,!,api hi,1,1
api ssu,idiom,idiom,api,,,"and further, moreover",ncped,!,api ssu,1,2
api ssuda?,idiom,idiom,api,,,"and further, moreover",ncped,!,api ssuda?,1,2
apil?pati,pr,pr,,,,recites,ncped,apil?p,ati pr,1,1
appabhassa,adj,adj,appa,,,talking little,ncped,appabhass,a adj,1,1
appabhikkhuka,adj,adj,appa,,,with few bhikkhus,ncped,appabhikkhuk,a adj,1,1
appadassa,adj,adj,appa,,,of little vision; of little knowledge,ncped,appadass,a adj,1,1
appadha?sika,adj,adj,appadha?siya,,,no to be destroyed; invincible,ncped,appadha?sik,a adj,1,1
appamaññati,pr,pr,,,,"thinks little of; underrates, despises",ncped,appamaññ,ati pr,1,1
appamatt?,fem,fem,appa,,,a small matter; a trifle,ncped,carapur,? fem,1,1
appaññ?taka,nt,nt,,,,"lack of fame, lack of reputation",ncped,appaññ?tak,a nt,1,1
appapurisaka,adj,adj,appa,,,"with few men, with few males",ncped,appapurisak,a adj,1,1
appasacca,nt,nt,appa,,,little learning,ncped,appasacc,a nt,1,1
appasuta,adj,adj,appassuta,,,"of little learning, uneducated",ncped,appasut,a adj,2,1
appasuta,nt,nt,appassuta,,,"little learning, ignorance",ncped,appasut,a nt,2,1
appatara,adj,"adj, compar of appa",appa,,,smaller; less numerous; shorter,ncped,appatar,a adj,1,1
appath?maka,adj,adj,appa,,,having little strength; weak,ncped,appath?mak,a adj,1,1
appatikkha,adj,adj,appa?ikkha,,,(according to commentary) not worthy of consideration or respect,ncped,appatikkh,a adj,2,0
appatikkha,adj,adj,appa?ikkha,,,"lacking consideration, disrespectful",ncped,appatikkh,a adj,2,1
appa?ikkha,adj,adj,appatikkha,,,(according to commentary) not worthy of consideration or respect,ncped,appa?ikkh,a adj,1,0
appa?isa?vedana,adj,adj,,,,lacking feeling; not experiencing,ncped,appa?isa?vedan,a adj,1,1
appa?isa?viditv?,abs,abs of ,,,,without experiencing,ncped,-,,1,1
appa?issa,adj,adj,appatissa,,,not deferential; not obedient,ncped,appa?iss,a adj,1,1
appatitth?na,adj,adj,appati??h?na,,,"not stiffened, not obdurate against:",ncped,appatitth?n,a adj,1,2
appati??h?na,adj,adj,appatitth?na,,,"not stiffened, not obdurate against:",ncped,appati??h?n,a adj,1,2
appa?iv???,fem,fem,appa?iv?n?,,,"not giving up, not turning away (from); non-weariness",ncped,appa?iv??,? fem,1,0
appa?iv?n?ya,adj,adj,,,,not to be given up; not causing weariness or satiety,ncped,appa?iv?n?y,a adj,1,1
appativattiya,adj,adj,appa?ivattiya,,,not to be turned or rolled back; not to be black; irresistible,ncped,appativattiy,a adj,1,1
appa??hatara,adj,adj,appa??ha,,,less difficult,ncped,appa??hatar,a adj,1,1
appayati,pr,pr,appeti,,,"puts in, inserts; fixes on, fastens; directs, turns towards, especially directs the mind (upon), concentrates, achieves a state of concentration; delivers up, gives; displays, exhibits",ncped,appay,ati pr,2,0
appayati,pr,pr,appeti,,,(present 3 singular) enters into; flows into,ncped,appay,ati pr,2,0
app?yuka,adj,"adj, comp",appa,,,short lived,ncped,app?yuk,a? adj,1,1
appe kacca,idiom,adj,"['appekacca', 'api']",,,usually; (repeated) some… others…,ncped,!,appe kacca,1,0
appho?ayati,pr,pr,appho?eti,,,makes a clapping noise by slapping one’s arm or clapping one’s hands (in pleasure or approbation),ncped,appho?ay,ati pr,1,0
appossuka,adj,adj,"['appossuka', 'appa']",,,"unconcerned, indifferent; free from care; not being active or exerting oneself",ncped,appossuk,a adj,1,1
appuyya,ger,ger of,,,,having reached; having attained; having pervaded,ncped,-,,1,1
apucca??at?,fem,"fem, abstr",,,,"‘the not being like a rotten egg’, soundness",ncped,cand?bh,? fem,1,1
?pucchita,adj,adj,?pucchati,,,having taken leave; having asked for permission,ncped,?pucchit,a adj,2,1
?pucchita,nt,nt,?pucchati,,,"asking permission, taking leave",ncped,?pucchit,a nt,2,1
aputtaka,adj,adj,,,,without a son; childless; without heirs,ncped,aputt,aka adj,1,1
?rabbhati,pr,pr,"['?rambhati', '?rabhati']",,,"takes hold of; begins, undertakes, embarks upon; starts, initiates",ncped,?rabbh,ati pr,1,1
?racay?racay?,fem,fem,,,,arranging again and again; pulling this way and that,ncped,th??ir,? fem,1,1
?r?dhan?ya,ptp,ptp,?r?dheti,,,"to be fulfilled, to be achieved",ncped,?r?dhan?y,a ptp,2,1
?r?dhan?ya,nt,nt,?r?dheti,,,"what is to be accomplished; success, approval",ncped,?r?dhan?y,a nt,2,1
?r?dhapekha,adj,adj,,,,"looking for favor, wishing to gratify",ncped,?r?dhapekh,a adj,1,1
?r?gga,nt,nt,,,,the point of an awl,ncped,?r?gg,a nt,1,1
arahaggata,adj,adj,araha(t),,,directed towards arahats; (or directed towards the worthy),ncped,arahaggat,a adj,1,0
arahantagh?taka,masc,masc,araha(t),,,the killer of an arahat,ncped,?sanapariyant,a masc,1,1
arahantav?da,masc,masc,araha(t),,,the title of an arahat,ncped,?sandik,a masc,1,1
ar?jaka,adj,adj,ar?jika,,,without a king,ncped,ar?jak,a adj,1,2
?rajay?rajay?,fem,fem,,,,scoring again and again,ncped,therik,? fem,1,1
ar?jika,adj,adj,ar?jaka,,,without a king,ncped,ar?jik,a adj,1,2
?raka,adj,adj,,,,"distant, far from",ncped,?rak,a adj,1,1
?rakkhanta,prp,prp of,,,,"guarding, keeping watch over, preserving",ncped,?rakkh,anta prp,1,1
?rakkhas?rathi,masc,masc,?rakkha,,,a guarding charioteer,ncped,?rakkhas?rath,i masc,1,1
?r?macetya,nt,nt,?r?ma,,,(also ?r?macetiya)a shrine in a park; a park,ncped,?r?macety,a nt,1,0
?r?manis?d?,adj,adj,?r?ma,,,living near a park,ncped,?r?manis?d,? adj,1,1
?r?mapesaka,masc,masc,?r?ma,,,a superintendent of the park-servants,ncped,udakukkhep,a masc,1,1
?ramati,pr,pr,,,,"ceases, stops; leaves off; keeps away (from)",ncped,?ram,ati pr,1,0
?r?mikini,fem,fem,,,,"a female servant in an ?r?ma, or the wife of an ?r?mika",ncped,?r?mikin,i fem,1,1
ara?ika,nt,nt,,,,one of the tools for kindling fire,ncped,ara?ik,a nt,1,1
?rañña,adj,adj,,,,"being in a forest, in the wild; forest-born, wild",ncped,?raññ,a adj,1,1
ariyaddasa,adj,adj,ariya,,,"seeing what belongs to the noble ones, what is noble",ncped,ariyaddas,a adj,1,1
ariyagarah?,adj,adj,ariya,,,"reproaching, censuring the noble ones",ncped,ariyagarah,? adj,1,1
ariyaka,adj,adj,,,,"who is an Ariya, who speaks the Ariya language",ncped,ariyak,a adj,2,1
ariyaka,nt,nt,,,,the Ariya language,ncped,ariyak,a nt,2,1
ariyas?l?,adj,adj,ariya,,,"having the (moral) nature of a noble one, of sublime practice",ncped,ariyas?l,? adj,2,0
ariyas?l?,adj,adj,ariya,,,"having the (moral) nature of a noble one, of sublime practice",ncped,ariyas?l,? adj,2,0
ariyava?iksa,adj,adj,ariya,,,"practicing the traditions of the noble ones, belonging to the noble tradition; who recites the Ariyava?sa-sutta",ncped,ariyava?iks,a adj,1,1
ariyav?sa,masc,masc,ariya,,,a way of living of the noble ones; a sublime state,ncped,?hatak,a masc,1,1
ariyavutti,adj,adj,ariya,,,noble in conduct,ncped,ariyavutt,i adj,1,1
ariy?yatana,nt,nt,ariya,,,the region of the Ariyas,ncped,ariy?yatan,a nt,1,1
ariy?pav?d?,adj,adj,ariya,,,"speaking ill of the noble ones, insulting the noble ones",ncped,ariy?pav?d,? adj,1,1
?roc?pesi,aor,aor of ,,,,told; announced,ncped,?roc?p,esi aor,1,1
?roc?petabba,ptp,ptp of,,,,will announce; will inform; will tell,ncped,?roc?petabb,a ptp,1,1
?roc?petv?,abs,abs of,?roceti,,,told; announced; informed,ncped,-,,1,1
?rodan?,fem,fem,,,,weeping; lamenting,ncped,dhakkhi?,? fem,1,1
arog?peti,pr,"pr, deno of aroga",,,,"cures, makes well",ncped,arog?p,eti pr,1,1
?rogiya,nt,nt,?rogya,,,"freedom from disease; health, well-being",ncped,?rogiy,a nt,1,1
?roha??ya,ptp,ptp of,"['?rohati', '?rohan?ya']",,,fit to be mounted,ncped,?roha??y,a ptp,1,1
?ropam?naka,adj,adj,,,,"raising, erecting; (or being impaled upon)",ncped,?ropam?nak,a adj,1,0
arosaneyya,adj,adj,,,,"not to be angered, not irritable",ncped,arosaneyy,a adj,1,1
