pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
abhihasati,pr,pr,abhiha?sati,,,is excited; rejoices in the prospect of,ncped,abhihas,ati pr,1,2
abhihi?sam?na,adj,adj,,,,hurting,ncped,abhihi?sam?n,a adj,1,1
abhijappa,nt,nt,,,,muttering (of a prayer or spell),ncped,abhijapp,a nt,1,0
abhijapp?,fem,fem,,,,praying for; desire; longing,ncped,cittak,? fem,1,1
abhijappapad?ra?a,nt,nt,abhijapp?,,,the arrow of desire,ncped,abhijappapad?ra?,a nt,1,1
abhijappayati,pr,pr,abhijappati,,,"mutters prayers to, supplicates; prays for, longs for, covets",ncped,abhijappay,ati pr,1,1
abhijapp?,adj,adj,abhijappati,,,praying for; desiring,ncped,abhijapp,? adj,1,1
abhijig?sati,pr,pr,abhijigi?sati,,desid,tries to win; wishes to overcome,ncped,abhijig?s,ati pr,1,1
abhij?vanika,adj,adj,,,,providing a livelihood,ncped,abhij?vanik,a adj,1,1
abhijjh?ta,masc,masc,abhijjhita(r),,,one who covets,ncped,?neñjabhisa?kh?r,a masc,1,1
abhijjhati,pr,pr,,,,longs for; covets,ncped,abhijjh,ati pr,1,1
abhik?m?,adj,adj,,,,very much desiring,ncped,abhik?m,? adj,1,1
abhik?rati,pr,pr,abhikirati,,,scatter over; to sprinkle,ncped,abhik?r,ati pr,2,1
abhik?rati,pr,pr,abhikirati,,,"(passive) is scattered, is dispersed",ncped,abhik?r,ati pr,2,0
abhikkantadass?v?,adj,adj,abhikkanta,,,of excellent vision,ncped,abhikkantadass?v,? adj,1,1
abhikkha?a??ta?ka,adj,adj,abhikkha?a?,,,constantly ailing,ncped,abhikkha?a??ta?k,a adj,1,1
abhil?bh?,adj,adj,,,,obtaining,ncped,abhil?bh,? adj,1,1
abhil?s?,adj,adj,,,,"wishing for, desiring",ncped,abhil?s,? adj,1,1
abhima?galasammata,adj,adj,,,,considered auspicious,ncped,abhima?galasammat,a adj,1,1
abhimatthana,nt,nt,,,,"rotating, rubbing together",ncped,abhimatthan,a nt,1,1
abhimatthenta,prp,prp,"['abhimanthenta', 'abhimatthati']",,caus,"churning, making rotate",ncped,abhimatth,enta prp,1,1
abhi?ata,adj,adj,"['abhinamati', 'abhinata']",,,bent towards; inclined towards,ncped,abhi?at,a adj,1,3
?bhindati,pr,pr,,,,splits; cleaves,ncped,?bhind,ati pr,1,1
abhi?hadassana,nt,nt,"['abhi?ha?dassana', 'abhi?ha?']",,,frequently seeing,ncped,abhi?hadassan,a nt,1,2
abhi?ha??pattika,adj,adj,abhi?ha?,,,repeatedly committing an offense,ncped,abhi?ha??pattik,a adj,1,1
abhi?ha?dassana,nt,nt,"['abhi?hadassana', 'abhi?ha?']",,,frequently seeing,ncped,abhi?ha?dassan,a nt,1,2
abhi?ha?k?ra??,fem,fem,abhi?ha?,,,continuous training,ncped,cirayapan,? fem,1,1
abhi?ha?sannip?ta,adj,adj,"['abhi?hasannip?ta', 'abhi?ha?']",,,holding frequent assemblies,ncped,abhi?ha?sannip?t,a adj,1,1
abhinibbajjayati,pr,pr,abhinibbijjayati,,,avoids; shuns,ncped,abhinibbajjay,ati pr,1,2
abhinibbattaka,adj,adj,abhinibbatteti,,,"producing, causing to come into being",ncped,abhinibbattak,a adj,1,1
abhinibbattayati,pr,"pr, caus of ","['abhinibbatteti', 'abhinibbattati']",,,(also abhinibbatteti) produces; causes to come into being,ncped,abhinibbattay,ati pr,1,0
abhinibbijja,ind,ind,,,,"finding out; examining, analyzing; or piercing through",ncped,-,,1,1
abhinibbijjayati,pr,pr,abhinibbajjayati,,,avoids; shuns,ncped,abhinibbijjay,ati pr,1,2
abhiniddisati,pr,pr,,,,"points out, indicates, characterizes",ncped,abhiniddis,ati pr,1,1
abhinigga?han?,fem,fem,,,,taking a hold of,ncped,c?ri?ik,? fem,1,1
abhin?hanati,pr,pr,abhin?harati,,,knocks out,ncped,abhin?han,ati pr,1,1
abhin?lam?yata,adj,adj,abhin?harati,,,very black and long,ncped,abhin?lam?yat,a adj,1,1
abhinimantana,nt,nt,,,,an invitation,ncped,abhinimantan,a nt,1,1
